"Image","Cluster"
"Large Fish Market with Self Portrait.jpg","1"
"Farmhouse along a Stream.jpg","3"
"Road through a Wood.jpg","5"
"Allegory of Fire^% Venus in the Forge of Vulcan (London, Trafalgar Galleries).jpg","6"
"Village Street.jpg","1"
"The Mill.jpg","6"
"Canal Crossing a Village.jpg","0"
"Stream Through Farmland (Amsterdam).jpg","2"
"Allegory of Earth.jpg","8"
"Adoration of the Magi (Prague).jpg","8"
"Festival in the Port of Venice.jpg","0"
"Farm Wagons in a Large Village.jpg","0"
"Fruit Garland with Holy Family.jpg","6"
"Bandit Encounter on the Way to Market.jpg","8"
"The Windmill.jpg","1"
"Flowers in a Decorated Ceramic Vase (Madrid).jpg","9"
"Venus, Vulcan and Amor.jpg","5"
"Allegory of Water (Rome).jpg","1"
"Adoration of the Magi (Antwerp, Mayer-van den Bergh).jpg","5"
"Allegory of Air and Fire (Vienna).jpg","9"
"Aeneas Carrying Anchises from the Burning Troy (Cologne).jpg","5"
"Landscape with Landing Stage.jpg","0"
"View of the Village of Schelle.jpg","5"
"The Drunkard Pushed into the Pigsty - Sale, Amsterdam.jpg","3"
"The Drunkard Pushed into the Pigsty (Sale, Berlin).jpg","3"
"Standing Gentlewoman.jpg","4"
"Travelers on a Country Road with a Village Beyond.jpg","5"
"Wedding Celebration in a Barn (stockholm).jpg","6"
"Visit to the Farmers (Bergues).jpg","6"
"The Good Samaritan.jpg","0"
"Allegory of Earth (Lyon).jpg","8"
"Allegory of Air (Weber, Brussels).jpg","2"
"View of a Village at the Edge of a River.jpg","0"
"Study Sheet with Sheep-Herder and Groups of Figures.jpg","4"
"Netherlandish Proverbs (Baron Caroly).jpg","6"
"Loading of a Horsedrawn Cart.jpg","4"
"Deer Hunting in the Forest.jpg","5"
"The Greedy Drunkard (Pommersfelden).jpg","3"
"Path over a Valley.jpg","0"
"Coastal Landscape with Temple of Vesta.jpg","3"
"Landscape with St. Jerome (London).jpg","6"
"The Valley.jpg","1"
"Landscape with Wagons.jpg","0"
"Latona and the Lycian Farmers.jpg","8"
"Sacrifice of Isaac (Geneva).jpg","3"
"Travelers on a Country Road (Paris).jpg","1"
"Flowers in a Wooden Tub (Bucharest).jpg","9"
"Forest Landscape with Hunters (London).jpg","8"
"Harbor with Preaching of Christ (London).jpg","5"
"Hilly Landscape (Paris).jpg","1"
"The Fisherman.jpg","0"
"Three Nave Gothic Church.jpg","6"
"Country Road with Wagons on Plain.jpg","0"
"Sheet of Figure Studies.jpg","4"
"The Envious.jpg","3"
"Minerva, Ceres and Fortuna.jpg","6"
"Sailing Boats.jpg","0"
"Outdoor Wedding (England).jpg","5"
"River Landscape with Landing Stage (Turin).jpg","8"
"The Creation of Eve (Madrid).jpg","2"
"Sketch of a Mountain Landscape, Tree and Vaulted Interior with a Wall Clock.jpg","0"
"Country Road with Windmill.jpg","1"
"Allegory of Fire^% Venus in the Forge of Vulcan (Russia) .jpg","6"
"Summer (Braunschweig).jpg","1"
"Village Fish Market with Scipio's Grave.jpg","2"
"Peasant Wedding Feast (Madrid).jpg","5"
"Vision of St. John on Patmos (Rome).jpg","2"
"Allegory of Water (London).jpg","8"
"Allegory of Abundance^% Venus, Bacchus and Ceres (Prague).jpg","8"
"Peasant dance, Wedding (Bern).jpg","6"
"Allegory of Fire^% Venus in the Forge of Vulcan (The Hague).jpg","6"
"Aeneas Carrying Anchises from the Burning Troy (Munich).jpg","1"
"Christ in the Storm (Christ and Apostles on the Lake of Tiberius) (Milan).jpg","2"
"Travellers on a pathway and a river valley.jpg","5"
"Archduke Albrecht Before Tervueren Castle.jpg","6"
"Rest on the Flight into Egypt (Switzerland).jpg","1"
"Virgin Mary and St. Joseph and the Christ Child, St. John, and Angels Playing with the Instruments of Passion.jpg","1"
"Flower Garland Around Medallion of Madonna and Child (London, Sotheby's, 1965).jpg","7"
"Sloth^% Laborers Asleep in the Fields.jpg","8"
"Wedding Dance Outdoors (Turin).jpg","5"
"Wagon and Cart in a Roadway on the Border of a Wood.jpg","4"
"The Ark of Noah Detail (Budapest).jpg","2"
"The Drunkard Pushed into the Pigsty.jpg","3"
"Landscape with Cistern (Milan).jpg","8"
"Wedding Procession with Windmill (Dorotheum, Vienna, 2000).jpg","5"
"Peasant dance, wedding feast (Berlin).jpg","6"
"Ruins of the Ancient Forum of Nerva, Rome (&%The Forum Transiterius&%), in the distance the Campanile of SS. Quirico and Giuletta.jpg","8"
"Bouquet with Mourning Iris in a Stoneware Vase (Prague).jpg","9"
"Wedding Celebration in a Barn (Sotheby's, London 2002).jpg","5"
"Boats and Canoes in the Middle of a River.jpg","0"
"Marriage of Bacchus and Ariadne (Brussels).jpg","6"
"Mountainous River Landscape.jpg","0"
"Visit to the Farmers (London, Christie's, 1995).jpg","5"
"View of Ruhrort and Duisburg.jpg","4"
"Peasant Wedding Dance (Quimper).jpg","6"
"Grain Harvest.jpg","8"
"Procession of the Bride (Unknown).jpg","6"
"The Drunkard pushed into the Pigsty (London, Christie's, 1990).jpg","5"
"Landing Stage Near a Village (London).jpg","5"
"Peasants Loading a Wagon.jpg","4"
"Port with Two Forts.jpg","0"
"Tower of Babel (Antwerp).jpg","1"
"Autumn (Braunschweig).jpg","8"
"The Ark of Noah (Pau,Pyrenees-Atlantiques).jpg","2"
"The Birds' Concert Party.jpg","8"
"Landscape of Paradise with the Creation of Eve.jpg","1"
"Preaching of John the Baptist (Munich).jpg","5"
"Frontal View of a River through a Village.jpg","8"
"Cargo Vessels and Rowboats off a Wharf.jpg","0"
"The Vision of St. Hubert (Berlin).jpg","8"
"Madonna and Child with John the Baptist, Surrounded by a Flower Garland (London).jpg","7"
"Baptism of Christ (Cologne).jpg","5"
"Visit to the Farmers (London Christie's, 1974).jpg","5"
"Mountainous Landscape with View over a Valley.jpg","0"
"River Landscape with Landing Stage (Washington).jpg","1"
"Paradise Landscape with Creation of Adam (Christie's, London).jpg","2"
"Adoration of the Magi (Philadelphia).jpg","6"
"Adoration of the Magi (Madrid, Convento de las Descalzas Reales).jpg","6"
"A Bridal Procession (Paris).jpg","5"
"Paradise Landscape with Fall of Man (Madrid).jpg","5"
"Roadway by a Stream.jpg","1"
"Nymphs Filling the Horn of Plenty.jpg","5"
"The Ark of Noah (England).jpg","2"
"Travelers on a Road Above a Valley.jpg","1"
"Way to Market on Forested Road.jpg","8"
"Interior of a Gothic Church.jpg","6"
"The Return from War^% Mars Disarmed by Venus.jpg","5"
"Rocky Landscape with Hermit.jpg","1"
"Wooded Shore with People Embarking in Boats (recto); Studies of People in Boats (verso).jpg","4"
"Castle on the Seashore.jpg","0"
"Forest Landscape with Hermit (Zurich).jpg","1"
"Netherlandish Proverbs (London, Sotheby's).jpg","6"
"Peasants on Their Way to Market.jpg","0"
"The Creation of Eve (Budapest).jpg","2"
"Perseus and Andromeda.jpg","1"
"River Landscape with Travelers on a Road.jpg","1"
"Four Windmills.jpg","2"
"The Madonna and Child Surrounded by a Garland of Flowers (London, van Haeften).jpg","7"
"Forest Landscape with Fox Hunting (Vienna).jpg","1"
"Noah's Ark (Palais des Congres, Versailles, 1976).jpg","6"
"A wedding dance in a landscape (Dijon).jpg","6"
"Flower Garland Around the Holy Family and John the Baptist (Zurich).jpg","7"
"River Landscape with Landing Stage (London).jpg","3"
"The Archdukes Outside Mariemont.jpg","8"
"Peter Encounters the Centurion Cornelius.jpg","1"
"Landing Stage Near a Village (Sweden).jpg","8"
"The Wedding Feast (Christie's, New York, 2000).jpg","6"
"Choir of Musical Angels.jpg","8"
"The Pissing Man.jpg","3"
"River Landscape with City.jpg","0"
"Cartouche and Garland Around Madonna and Child (London, Sotheby's, 1983).jpg","9"
"Peasant Dance on Hilltop Road, with Burgher Audience.jpg","8"
"Wide Landscape with Wagons.jpg","5"
"Allegory of Fire^% Venus in the Forge of Vulcan (Vienna, Dorotheum).jpg","6"
"Allegory of Fire^% Venus in the Forge of Vulcan (Versailles).jpg","6"
"Allegory of Fire^% Venus in the Forge of Vulcan (Solms).jpg","6"
"Boat Building.jpg","4"
"The Fall of Man (Brussels).jpg","0"
"Fall of the Manna (London).jpg","5"
"The Bird Concert (Christie's, London, 1998).jpg","2"
"Adoration of the Magi (Brussels).jpg","6"
"Roman Carnival^% Allegory of Winter.jpg","3"
"Crucifixion (Munich).jpg","6"
"Five Women Talking.jpg","4"
"Paradise (Vienna).jpg","1"
"Winter (Braunschweig).jpg","1"
"Coach on a Country Road.jpg","0"
"Air^% The Rape of Ganymede.jpg","1"
"Three Boats in a Hilly Landscape.jpg","4"
"Sea Landscape.jpg","0"
"Wagon on Road through Forest.jpg","0"
"Skating Scene.jpg","0"
"Wide Landscape with Travelers and Wagons.jpg","5"
"Woman Carrying Water in One Hand and Fire in the Other in Summer Landscape.jpg","3"
"River Landscape with Noble Party in Boat^% Allegory of Spring.jpg","3"
"Forest Road with Travelers (Florence).jpg","8"
"Mountainous Landscape with Exotic Animals.jpg","0"
"Allegory of Earth (Rome).jpg","1"
"Behind the Fish Net.jpg","3"
"Archduke Albrecht with Infante Isabella in the Garden of Coudenberg Palace, Brussels.jpg","8"
"&%Villa de Aggrippina Julia&% Vestigi delle antichita di Roma Tivoli Pozzuolo et altri luochi.jpg","4"
"Landscape with Hermit (St. Fulgentius$%) (Milan).jpg","8"
"Forest Landscape with Duck Hunter.jpg","3"
"Mountainous Landscape with Tobit and the Angel.jpg","0"
"Forest Landscape with Hermit (Private Collection).jpg","3"
"Allegory of Fire^% Venus in the Forge of Vulcan (London, Gallery Agnew).jpg","8"
"Temptation of St. Anthony in a Forest (Italy).jpg","8"
"Landscape with Covered Wagon and View of Antwerp.jpg","0"
"Adoration of the Magi (England).jpg","5"
"Women Working in Front of a Washer or Dyeworks (Detail).jpg","4"
"Allegory of Public Welfare.jpg","5"
"Harbor in Front of City Wall.jpg","0"
"The Ark of Noah (Twigworth).jpg","2"
"Road with Travelers.jpg","8"
"Virgin and Child in a Flower Garland (Paris).jpg","7"
"Paradise Landscape with Noah's Ark (Budapest).jpg","8"
"Travelers on a Road Above a River Valley.jpg","1"
"Wide Landscape with Wagon and Travelers.jpg","8"
"The Peasant Dance (Brussels, 1957).jpg","6"
"The Flood with Noah's Ark (Zurich).jpg","5"
"Large Panoramic Mountain View with Venus and Adonis.jpg","2"
"Orpheus Sings for Pluto and Proserpina (Rome).jpg","5"
"Barges and Boats on a River.jpg","6"
"Studies of Working Peasants.jpg","4"
"Carrying of the Cross (Christ & the Holy Women).jpg","3"
"Bouquet of Flowers in a Chinese Vase (London).jpg","9"
"Flowers in Basket and Glass (De Boer).jpg","6"
"Rocky Landscape with St. Jerome.jpg","0"
"Landscape with Two Peasants and Cattle.jpg","4"
"River Landscape with Landing Stage (Antwerp).jpg","1"
"Flowers in Basket and Tazza (Paris, Artcurial).jpg","9"
"Flower Garland Around a Medallion with the Coronation of the Madonna (London, Sotheby's, 2005).jpg","7"
"A Bridal Procession (Christie's, London, 1935).jpg","6"
"Studies of Figures.jpg","4"
"View of a Village with a Canal.jpg","0"
"Allegory^% The Dream of Raphael (Circe & Ulysses).jpg","1"
"The Paradise (Cologne, 1935).jpg","6"
"Latona and the Lycian Farmers (Amsterdam).jpg","8"
"Sitting Woman Breastfeeding a Child.jpg","4"
"Adoration of the Magi (Brussels, Sale).jpg","6"
"Adoration of the Magi (Madrid, Lazato).jpg","6"
"Forest Road with Peasants and Wagons on the Way to the Market.jpg","0"
"Flower Garland Around the Holy Family, Elizabeth and John (Zurich).jpg","7"
"Rocky Landscape with Flight into Egypt (New York).jpg","3"
"Pan and Syrinx (Vienna).jpg","0"
"The Peasant Dance (london, Christie's, 1978).jpg","6"
"Visit to the Farmers (New York, Sotheby's).jpg","5"
"Seven hunting horns.jpg","6"
"Rest on the Flight into Egypt (Amsterdam).jpg","8"
"Allegory of Abundance (Venus, Ceres and Bacchus).jpg","5"
"Study of Hunting Requisites.jpg","4"
"Peasants on the Move.jpg","4"
"Ancient Ruins (Berlin).jpg","2"
"Ruins in Rome.jpg","4"
"Flowers in a Tazza (New York).jpg","9"
"Garden of Eden (Yale 1961.62.23).jpg","4"
"Inn by a Canal with a Coach and a Barge.jpg","4"
"Hilltop Road with Travelers.jpg","8"
"Saint Hubertus in a Landscape.jpg","8"
"Aeneas and Sibyl in the Underworld (Budapest, 553).jpg","1"
"The Peasant and the Nest Robber - Chesham.jpg","8"
"A Study of three Roebucks (Sotheby's, Amsterdam).jpg","6"
"Allegory of Fire^% Venus in the Forge of Vulcan (Christie's, Paris).jpg","6"
"Barge Moored to a Bank.jpg","0"
"The Paradise (Rome).jpg","8"
"Country Road with Farm Wagons.jpg","8"
"Passage in the High Mountains .jpg","1"
"Rebus Blazon for the Rhetorician's Guild 'De Violieren'.jpg","7"
"Studies of Figures and Sheep, Including a Man Shearing a Sheep at Left.jpg","4"
"Flower Garland and Cartouche Framing the Madonna and Child (Hanover, Landesmuseum).jpg","9"
"Fantastic Landscape with Figures.jpg","0"
"Adam and Eve in Paradise (Sotheby's, London).jpg","2"
"The Clivus Scauri in Rome.jpg","4"
"View over a Broad River Valley with Gypsies.jpg","1"
"Archduke Albert of Austria with Women on a Platform.jpg","4"
"Kermis (Brussels, Leger & Son, 1932).jpg","6"
"Paradise Landscape with the Fall of Man (Rome, Galleria Doria-Pamphili).jpg","1"
"The Adoration of the Magi (London, Sotheby's 1990).jpg","5"
"Aeneas and Sibyl in the Underworld (London).jpg","5"
"Kermis (Graz).jpg","4"
"The Schelde River at Antwerp.jpg","0"
"Flowers in a Ceramic Vase (Switzerland).jpg","9"
"Abraham sending Hagar and Ismael into the Forest.jpg","1"
"Peasant's Dance by (New York, Anderson Gallery, 1928).jpg","6"
"The Lawyer (Amsterdam).jpg","7"
"The Blue Coat (Paris).jpg","3"
"Soldiers in Forest Clearing.jpg","1"
"Venus and Amor.jpg","5"
"Proverb^% 'Woman with pot of water' (Kassel).jpg","3"
"Wedding Celebration in a Barn, Image three (Giroux).jpg","6"
"Procession of Groom (Kansas City).jpg","6"
"Holy Family in a Flower Garland.jpg","7"
"Flower Arrangement.jpg","4"
"The Sense of Sight.jpg","5"
"The Archdukes and Company before Mariemont Castle.jpg","2"
"Paradise with Fall of Man (Brentford).jpg","5"
"Kermis (Amsterdam Rijksmuseum).jpg","2"
"Two Studies of an Ostrich.jpg","4"
"Archduke Albert before Mariemont Castle (Germany).jpg","1"
"Harbor Landscape with Scipio's Grave.jpg","1"
"The Sense of Touch (Munich).jpg","6"
"View of the Temple of the Sibyl in Tivoli.jpg","6"
"The Creation of Eve (Konstanz).jpg","2"
"Landscape with Castle and Church in Background.jpg","0"
"Calvary (Milan).jpg","3"
"A Study of Parrots with a Falconer in the Background (Sotheby's, New York).jpg","2"
"Procession of the Groom (pendant) (Zurich, 2001).jpg","6"
"The Wedding Dance.jpg","5"
"Farmers and Soldiers on the Road.jpg","0"
"Allegory of Fire^% Venus in the Forge of Vulcan (Frankfurt).jpg","6"
"Village Alongside a River.jpg","0"
"Kermis (Vienna).jpg","5"
"Flowers in a Wooden Tub with Squirrel (Amsterdam).jpg","9"
"Allegory of Earth and Water.jpg","1"
"The Goose-Shepherd (Antwerp, KMSK).jpg","3"
"River Landscape with Bathers.jpg","8"
"Village Street with Wagons and Festival.jpg","0"
"Bouquet of Flowers in a Chinese Vase (The Hague).jpg","9"
"Imaginary Scene.jpg","0"
"Landscape with Travelers near an Inn.jpg","1"
"Travelers on a Country Road.jpg","1"
"Mouse, Rose, and Butterfly (Milan).jpg","7"
"Mouse, Rose, and Butterfly (Amsterdam).jpg","1"
"Landscape with Young Tobias.jpg","8"
"Mountain Landscape overlooking a River Valley.jpg","1"
"Village on the Left Bank of a Canal.jpg","0"
"River Landscape with Bathers and Sailboats.jpg","8"
"Forest Landscape with Hunters and Dogs.jpg","1"
"Adoration of the Magi (Madrid).jpg","6"
"Flowers in a Vase with Jewels, Coins, and Shells (Milan).jpg","7"
"The Fall of Man (Dortmund).jpg","6"
"Windmill on the River.jpg","0"
"Hilly Landscape with Figures Near a Ravine.jpg","0"
"The Flood with Noah's Ark (London).jpg","5"
"The Farmer and the Handler (Amsterdam).jpg","3"
"Two Fools Roundel (Hamburg).jpg","3"
"Landscape with Wagons on a Road.jpg","4"
"Harbor View.jpg","0"
"Entrance to Village with Windmill (Amsterdam).jpg","1"
"Adoration of the Magi (New York, Sotheby's).jpg","5"
"Grotto.jpg","0"
"The Arch of Septimius Severus, Rome.jpg","6"
"Mountainous Landscape with Village in Valley and Distant View.jpg","0"
"Baptism of Christ (London).jpg","5"
"Wooded Canyon with Rock Bridge and Travelers.jpg","1"
"Wedding Celebration in a Barn, Image two (Giroux).jpg","6"
"Mountain Landscape^% Road with Figures, Pilgrim With Dog.jpg","0"
"Entry into Noah's Ark (France).jpg","2"
"Kermis (Uppsala).jpg","5"
"Temptation of St. Anthony (Vienna).jpg","2"
"Landing Stage near a Town (London).jpg","1"
"Herd of Cows at a Well.jpg","4"
"Peasants and Hay Wagon on a Country Road.jpg","4"
"The Drunkard pushed into the Pigsty (Paris, Ader Picard Tajan).jpg","3"
" The Fifth Day of Creation^% God the Father creates the birds and the fish (Part of a Series) (Christie's, London).jpg","2"
"River Landscape with Landing Stage (Germany).jpg","8"
"Scipio's Grave on the Via Appia.jpg","4"
"Beach with Sailboats in a Storm.jpg","0"
"Flowers in a Painted Vase (France).jpg","3"
"Bird Concert (Braunschweig).jpg","2"
"Man on Egg (Unknown Collection).jpg","3"
"The Marriage Feast of Bacchus (Paris).jpg","5"
"Daniel in the Lions' Den.jpg","4"
"Allegory of the Four Elements (Madrid).jpg","5"
"The Paradise (Aschaffenburg).jpg","8"
"Paradise Landscape with God Telling Adam to Name the Animals (Rome, Galleria Doria Pamphili).jpg","5"
"Mountainous Landscape with Figures and a Donkey.jpg","1"
"Ford at the Edge of a Wood.jpg","0"
"Dancers at a Village Wedding with the Bride Seated at a Table Beyond.jpg","0"
"St. Martin Dividing His Cloak.jpg","5"
"Oxen in a Landscape.jpg","0"
"Netherlandish Proverbs (Sale, Antwerp).jpg","6"
"Forest Landscape with Woodcutters.jpg","8"
"Village Wharf.jpg","4"
"Travelers on the Pass .jpg","1"
"The Paradise (Dorotheum, Vienna, 1994).jpg","5"
"Forest Landscape with St. Hubert.jpg","1"
"Road through a Woodland Village (St. Petersburg).jpg","1"
"Mountainous Landscape.jpg","4"
"Sanctuary of a Gothic Church.jpg","6"
"Adam and Eve in Paradise (Amsterdam).jpg","2"
"Interior of a Gothic Church (Milan).jpg","6"
"Bouquet with Mourning Iris in a Stoneware Vase (Cologne).jpg","9"
"Landscape with Flight into Egypt.jpg","3"
"Judgment of Paris (Sibiu).jpg","5"
"Venus and Mars in the Forge of Vulcan (Paris).jpg","5"
"Forest Landscape with Sacrifice of Isaac (Tokyo).jpg","1"
"Flowers in a Sculpted Vase (Private Collection).jpg","9"
"The Palace of Isabella Clara Eugenia at Tervuren.jpg","1"
"Trees, Birds, Fruits, and Flowers.jpg","4"
"View of the Ponte Rotto in Rome.jpg","4"
"Orpheus (Munich, 1957).jpg","6"
"The Flatterers (Paris).jpg","3"
"Winter Village Canal.jpg","8"
"Studies of Groups of Figures.jpg","0"
"Paradise landscape with the Fall (Private Collection, Germany).jpg","5"
"Forest Road.jpg","0"
"View of the Castel dell'Ovo.jpg","4"
"The Temple of the Sybil at Tivoli.jpg","6"
"St. Jerome in a Flower Cartouche (Maastricht).jpg","9"
"Vulcan in Forge with Birds.jpg","5"
"Road by Windmills.jpg","1"
"Sleeping Peasants and Two Horses Under Large Trees.jpg","4"
"Coaching Inn in a Village.jpg","2"
"Waterfall at Tivoli.jpg","0"
"To Fill up the Well after the Calf has drowned (New York, Christie's).jpg","3"
"Flower Garland Around the Virgin and Child (Monte Carlo).jpg","7"
"Latona and the Lycian Farmers (London).jpg","8"
"Flowers in a Decorated Ceramic Vase (Detroit).jpg","9"
"Feast of the Gods (Brussels).jpg","5"
"View of Antwerp from the Scheldt.jpg","1"
"Diana and Callisto (Berlin).jpg","6"
"Fruit Garland with Offering to Ceres (Madrid).jpg","7"
"Noah in Front of Sea.jpg","5"
"View of Tivoli (Paris).jpg","0"
"Woodland Scene with Stags and Bears.jpg","0"
"The Misanthropist (Antwerp, Museum voor Schone Kunsten).jpg","3"
"The One who is Eating the Meal (Unknown Collection).jpg","3"
"Daniel in the Lions' Den (Milan).jpg","1"
"Landscape with Travelers (Cleveland).jpg","0"
"Kermis (Haarlem).jpg","6"
"Village Street with Carts and Horses.jpg","0"
"Small River Landscape with Two Canoes.jpg","2"
"River Landscape with Landing Stage on the Left.jpg","1"
"St. Peter Celestine.jpg","5"
"Peasant Dance, Wedding (New York).jpg","6"
"Entrance to Village with Windmill (Zurich).jpg","1"
"Attack on a Convoy (Vienna).jpg","8"
"A Highway Robbery.jpg","0"
"Landscape with Gypsy group.jpg","0"
"Canal with Sloops.jpg","0"
"Woodland Road.jpg","0"
"River with Village and Landing Stage.jpg","8"
"Landscape with a Ford.jpg","5"
"View of Heidelberg (New York).jpg","0"
"View of a Village.jpg","0"
"Allegory of Sound^% The Bird Concert.jpg","8"
"Cartouche and Garland Around Madonna and Child (Duffel).jpg","9"
"Mill on a River.jpg","0"
"The Bridegroom's Procession (Christie's, London,2000).jpg","5"
"View of Roman Ruins, the Baths of Caracalla or the Baths of Diocletian in Rome.jpg","4"
"Cartouche with Flowers Around Madonna and Child  (Paris, Berge).jpg","9"
"Jonah Delivered from the Whale.jpg","4"
"Holy Family Framed in a Garland of Flowers (Louvre).jpg","7"
"The Opportunist.jpg","3"
"Flowers in a Sculpted Vase Beside a Wreath of Flowers (Gundelfingen).jpg","9"
"Nymphs Sleeping After the Hunt Spied on by Satyr.jpg","5"
"Christ in Limbo (Aschaffenburg).jpg","5"
"Paradise Landscape with Fall of Man (France, Private Collection).jpg","3"
"Allegory of Love.jpg","5"
"Christ in Limbo (The Hague).jpg","5"
"Holy Family in Landscape (Turin).jpg","5"
"Rocky Landscape (Momper).jpg","3"
"Village Landscape with Cattle Market.jpg","8"
"Aeneas Carrying Anchises from the Burning Troy (Amsterdam).jpg","1"
"The Sense of Hearing.jpg","5"
"Kermis scene (Brunn, 1929).jpg","6"
"Flowers in a Wooden Tub (London).jpg","9"
"Forest Landscape (Vienna).jpg","2"
"Fish Market before a City on Water.jpg","1"
"Landscape with Archduke Albert and Mariemont Castle.jpg","1"
"Feast of the Gods (Switzerland).jpg","5"
"Wedding Celebration in a Barn (Christie's, London, 1988).jpg","6"
"Wide Landscape with Hunters in the Snow.jpg","8"
"Travelers in the Mountains.jpg","2"
"The Paradise (Stourhead).jpg","8"
"View of Mariemont Castle.jpg","2"
"Battle of the Amazons (Potsdam).jpg","5"
"The Forge of Vulcan (Cologne).jpg","6"
"Landscape with Hermit on the Right (Milan).jpg","8"
"Harbor Scene (Paris).jpg","0"
"Flowers in a Wooden Tub (Private Collection).jpg","9"
"The Drunkard pushed into the Pigsty (private collection).jpg","3"
"Netherlandish Proverbs (London, van Haeften).jpg","5"
"Forest Landscape with Castle.jpg","1"
"A Bridal Procession (unknown).jpg","5"
"Sheet of Studies of Peasants.jpg","4"
"Man on Egg (Mainz).jpg","3"
"Town on a Wide River.jpg","0"
"Christ in Limbo (Riggisberg).jpg","5"
"Christ in Limbo (Rome).jpg","5"
"Village by a River.jpg","3"
"Busy Road.jpg","4"
"Flower Garland with Inner Garland of Religious Scenes (Sotheby's).jpg","7"
"The Wedding Procession (Christie's, London,1965) .jpg","6"
"The Wedding Dance (Sotheby's, London, 1996).jpg","5"
"Busy Village Street with Resting Travelers.jpg","1"
"Broad Landscape with Windmills.jpg","2"
"The Wedding of Peleus and Thetis.jpg","5"
"Landscape with a Road Leading Past a Place for Execution .jpg","8"
"Bouquet in a Glass Vase (Basel).jpg","2"
"Cartouche and Garland Around Madonna and Child with John the Baptist (Maastricht, 1975).jpg","9"
"Canal in a Flemish Town.jpg","4"
"Allegory of Fire^% Venus in the Forge of Vulcan (London, Sotheby's).jpg","6"
"Mountain Landscape with a River.jpg","1"
"Paradise landscape (Kunsthaus Lempertz, Cologne, 1995).jpg","2"
"A wedding dance in a landscape (Amsterdam, 1969).jpg","6"
"Coastal Landscape with Scipio's Grave (Germany).jpg","1"
"Harbor Scene (London).jpg","8"
"Bouquet with Mourning Iris in a Stoneware Vase.jpg","9"
"Allegory of Astronomy or one of the four elements^% Air (The Hague).jpg","6"
"Procession of the Groom (Christie's,  London, 1990).jpg","5"
"Fishermen in the Dunes.jpg","4"
"Flower Garland Around the Holy Family, Elizabeth and John.jpg","7"
"Orpheus and the Beasts (Galleria Borghese).jpg","5"
"Flowers in a Painted Ceramic Vase with Moths (Madrid).jpg","9"
"Travelers on a Forest Road.jpg","5"
"Study of a Tree Trunk and Foliage (recto); Studies of Foliage with Fruits and Berries (verso).jpg","0"
"Bouquet in a Glass Vase (Madrid).jpg","9"
"Adoration of the Magi (Lokeren).jpg","6"
"A Group of Peasants.jpg","4"
"Peasants with a Horse and Cart.jpg","4"
"A Village by a River.jpg","0"
"Allegory of Fire^% Venus in the Forge of Vulcan (Rome).jpg","6"
"Christ and the Adulterous Woman (Munich).jpg","2"
"Allegory of Water (Milan).jpg","1"
"View of the Interior of the Colosseum in Rome.jpg","4"
"The Castle.jpg","0"
"Bridge of Talavera.jpg","2"
"Adam and Eve with their family, working as gardeners after the fall (Christie's, Amsterdam).jpg","5"
"Flooded Forest Landscape.jpg","0"
"Man Sitting Between Two Chairs.jpg","3"
"&%Baulo Graca&% Vestigi delle antichita di Roma Tivoli Pozzuolo et altri luochi.jpg","4"
"Canal in Village.jpg","0"
"St. Martin Dividing His Cloak (Munich).jpg","6"
"The Paradise (Madrid).jpg","8"
"Village with Dancing Peasants.jpg","8"
"Flora^% Allegory of Spring.jpg","5"
"Mills of the Edge of a River.jpg","0"
"Market Day in Village by a River.jpg","1"
"Netherlandish Proverbs (Haarlem).jpg","6"
"Gallery Interior^% Allegory of the Art of Painting and the Art of Drawing.jpg","5"
"View Down a River through a Village.jpg","1"
"Peasant Dance Wedding - engraving (Antwerp).jpg","6"
"Forest Interior with John the Baptist.jpg","5"
"The Rape of Europa (Private).jpg","5"
"Holy Family with Angel in a Landscape.jpg","6"
"The Farmer and the Handler (Antwerp).jpg","3"
