"Image","Cluster"
"Waterfall in Tivoli (Cascata della Stipa$%; recto); Sketch of a Southern Landscape with Buildings on a Road in Tivoli (verso).jpg","0"
"Wedding Celebration in a Barn (Dublin).jpg","5"
"A Garland of Flowers Surrounding the Temptation of Saint Anthony Pendant (Sotheby's, London, 1996).jpg","7"
"The Contest of Apollo and Marsyas (Judgment of Midas).jpg","5"
"Fruit and Flower Garland with the Holy Family in a Landscape (Munich).jpg","8"
"Vast Landscape with a Hunt.jpg","0"
"Temple of Janus and the Church of San Giorgio in Valabro at Rome.jpg","4"
"Bacchus, Venus, and Ceres.jpg","3"
"Preaching of John the Baptist (Basel).jpg","5"
"Landscape with Mill and Travelers.jpg","2"
"Flowers in Basket and Tazza (Christie's, New York, 2004).jpg","9"
"Flowers in a Decorated Ceramic Vase with Orange Blossom (Madrid).jpg","9"
"The couple with Owl and Jug (Switzerland, Private Collection).jpg","3"
"Peasant Dance, Wedding (Phillip's, London, 1994).jpg","6"
"Wedding Celebration in a Barn (Pommersfelden, 1899).jpg","6"
"Soldiers Resting in a Forest.jpg","8"
"Genre Scene^% Feasting and Dancing.jpg","2"
"Peasant Festival.jpg","2"
"Confluence of Rivers.jpg","0"
"Allegory of Water (Germany).jpg","2"
"Rocky Landscape.jpg","3"
"The Marriage Feast of Bacchus (Dresden).jpg","5"
"The Battle of Issus.jpg","1"
"Allegory of Air and Fire (London, Christie's, 1996).jpg","6"
"Allegory of Earth (Paris).jpg","1"
"Pan and Syrinx (England).jpg","5"
"Temptation of St. Anthony (Alkmaar).jpg","5"
"Sheet of Various Studies.jpg","0"
"Cavalry Engagement at the Windmills.jpg","5"
"Allegory of Air (Sotheby's, London, 2001).jpg","2"
"The Paradise (London, 1929).jpg","2"
"Allegory of Fire^% Venus in the Forge of Vulcan (Plymouth).jpg","6"
"Village Street with Trees.jpg","5"
"Wide Busy Road with Figures and Animals in a Village.jpg","4"
"Boats in a Canal.jpg","0"
"Wooden Summerhouse.jpg","4"
"Temple of Fortuna Virilis.jpg","4"
"Orpheus enchanting the trees and animals with his lyre (Dorotheum, Vienna, 1996).jpg","2"
"Studies of a Pig Market.jpg","6"
"A Drinker in a Jug (United States, Private Collection).jpg","3"
"Interior of a Cathedral.jpg","6"
"Wooden Shed.jpg","4"
"No Room at the Inn (Germany).jpg","5"
"Wedding Celebration in a Barn (Hermsen Collection).jpg","6"
"The Waterfalls in Tivoli.jpg","0"
"Fish Market in a Riverside Village.jpg","8"
"Interior of a Gothic Church Looking East (London, 1443).jpg","6"
"Venus Mourning the Death of Adonis.jpg","1"
"Kermis (Moscow).jpg","6"
